R10,10.43,99.69,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,115.35,42.45,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,113.76,30.05,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,67.23,13.01,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,160.83,4.75,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,90.39,61.51,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,155.18,42.93,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,155.18,44.23,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,121.55,37.86,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,69.93,11.15,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.89,14.91,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,31.01,43.89,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,38.41,26.17,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,35.61,26.25,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,32.11,26.33,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,71.11,34.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.15,108.51,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.37,107.05,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,89.76,51.45,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.64,106.88,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,73.57,34.86,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.49,106.99,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.99,9.54,90.00,"ESP32_WROVER_BME680_BME680""""",ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,67.11,11.09,0.00,,SJ
TP1,11.86,65.29,0.00,TPTP20R,TP20R
TP10,109.28,12.71,0.00,TPTP20R,TP20R
TP11,100.04,17.99,0.00,TPTP20R,TP20R
TP12,104.43,12.61,0.00,TPTP20R,TP20R
TP13,99.68,12.61,0.00,TPTP20R,TP20R
TP14,122.73,46.91,0.00,TPTP20R,TP20R
TP15,80.98,67.31,0.00,TPTP20R,TP20R
TP16,9.03,38.71,0.00,TPTP20R,TP20R
TP17,104.69,18.09,0.00,TPTP20R,TP20R
TP2,14.18,65.29,0.00,TPTP20R,TP20R
TP3,136.80,43.89,0.00,TPTP20R,TP20R
TP4,122.62,50.29,0.00,TPTP20R,TP20R
TP5,136.74,47.59,0.00,TPTP20R,TP20R
TP6,13.96,77.09,0.00,TPTP20R,TP20R
TP7,8.88,77.09,0.00,TPTP20R,TP20R
TP8,3.80,77.09,0.00,TPTP20R,TP20R
TP9,109.42,17.89,0.00,TPTP20R,TP20R
U1,36.59,51.46,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.16,51.80,90.00,"ESP32-C6-WROOM-1-N8""""",XCVR_ESP32-C6-WROOM-1-N8
U3,81.60,57.25,270.00,"DS3231SN#""""",SOIC127P1032X265-16N
U4,132.78,43.82,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,122.91,41.59,90.00,MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
